"CruiseKey"	"LogKey"	"BeamKey"	"AcousticCategoryKey"	"ChannelReferenceKey"	"ChannelReferenceType"	"ChannelReferenceDepth"	"ChannelReferenceTilt"
"BIAS_2018_SWE"	"2018-10-10T01:08:26.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T02:58:19.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T03:07:12.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T03:15:20.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T03:22:45.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T03:30:05.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T03:37:25.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T03:44:48.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T03:52:05.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T03:59:06.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T04:05:55.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T04:13:07.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T04:20:12.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T04:27:07.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T04:34:08.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T04:41:10.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T04:48:09.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T04:55:03.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T07:54:08.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T08:00:50.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T08:07:20.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T08:13:20.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T08:19:19.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T08:25:15.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T08:31:32.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T08:37:39.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T08:43:34.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T08:49:31.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-10T08:55:34.000Z"	"I1"	"MIX"	"P"	"P"	0	180
