"Survey"	"Stratum"	"PSU"	"Layer"	"Beam"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"Frequency"	"Density"	"MinLayerDepth"	"MaxLayerDepth"	"DensityWeight"
"Survey"	"Outer_Shoal_2020_1"	"T13"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	17	1	38000	21597.6275136449	10	90	13
"Survey"	"Outer_Shoal_2020_1"	"T13"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	18	1	38000	21597.6275136449	10	90	13
"Survey"	"Outer_Shoal_2020_1"	"T13"	NA	"38000/2"	NA	NA	NA	38000	NA	NA	NA	13
"Survey"	"Outer_Shoal_2020_1"	"T14"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	9	1	38000	82361.34862378	10	90	16.1
"Survey"	"Outer_Shoal_2020_1"	"T14"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	10	1	38000	411806.7431189	10	90	16.1
"Survey"	"Outer_Shoal_2020_1"	"T14"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	11	1	38000	2635563.15596096	10	90	16.1
"Survey"	"Outer_Shoal_2020_1"	"T14"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	12	1	38000	4529874.1743079	10	90	16.1
"Survey"	"Outer_Shoal_2020_1"	"T14"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	13	1	38000	4612235.52293168	10	90	16.1
"Survey"	"Outer_Shoal_2020_1"	"T14"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	14	1	38000	1976672.36697072	10	90	16.1
"Survey"	"Outer_Shoal_2020_1"	"T14"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	15	1	38000	329445.39449512	10	90	16.1
