"Stratum"	"PSU"	"EDSU"	"Layer"	"Channel"	"Cruise"	"EffectiveLogDistance"	"DateTime"	"Longitude"	"Latitude"
"46H0"	"PSU014"	"BIAS_2018_SWE/2018-10-08T22:02:36.000Z"	"WaterColumn"	"10_159"	"BIAS_2018_SWE"	1	2018-10-08T22:02:00Z	20.35592	58.91542
"46H0"	"PSU015"	"BIAS_2018_SWE/2018-10-08T22:11:55.000Z"	"WaterColumn"	"10_88.2"	"BIAS_2018_SWE"	1	2018-10-08T22:11:00Z	20.35762	58.89865
"46H0"	"PSU016"	"BIAS_2018_SWE/2018-10-08T22:21:05.000Z"	"WaterColumn"	"10_96.6"	"BIAS_2018_SWE"	1	2018-10-08T22:21:00Z	20.35948	58.88192
"46H0"	"PSU017"	"BIAS_2018_SWE/2018-10-08T22:30:31.000Z"	"WaterColumn"	"10_96.3"	"BIAS_2018_SWE"	1	2018-10-08T22:30:00Z	20.35952	58.86516
"46H0"	"PSU018"	"BIAS_2018_SWE/2018-10-08T22:39:57.000Z"	"WaterColumn"	"10_95.3"	"BIAS_2018_SWE"	1	2018-10-08T22:39:00Z	20.35908	58.8484
"46H0"	"PSU019"	"BIAS_2018_SWE/2018-10-08T22:49:57.000Z"	"WaterColumn"	"10_177.4"	"BIAS_2018_SWE"	1	2018-10-08T22:49:00Z	20.35955	58.83162
"46H0"	"PSU020"	"BIAS_2018_SWE/2018-10-08T22:58:34.000Z"	"WaterColumn"	"10_181.1"	"BIAS_2018_SWE"	1	2018-10-08T22:58:00Z	20.35877	58.81487
"46H0"	"PSU021"	"BIAS_2018_SWE/2018-10-08T23:08:01.000Z"	"WaterColumn"	"10_189.2"	"BIAS_2018_SWE"	1	2018-10-08T23:08:00Z	20.3587	58.79813
"46H0"	"PSU022"	"BIAS_2018_SWE/2018-10-08T23:17:06.000Z"	"WaterColumn"	"10_99.6"	"BIAS_2018_SWE"	1	2018-10-08T23:17:00Z	20.35809	58.78135
"46H0"	"PSU023"	"BIAS_2018_SWE/2018-10-08T23:25:48.000Z"	"WaterColumn"	"10_99.6"	"BIAS_2018_SWE"	1	2018-10-08T23:25:00Z	20.36001	58.76455
"46H0"	"PSU024"	"BIAS_2018_SWE/2018-10-08T23:33:52.000Z"	"WaterColumn"	"10_99.5"	"BIAS_2018_SWE"	1	2018-10-08T23:33:00Z	20.36176	58.74776
"46H0"	"PSU025"	"BIAS_2018_SWE/2018-10-08T23:42:12.000Z"	"WaterColumn"	"10_99.5"	"BIAS_2018_SWE"	1	2018-10-08T23:42:00Z	20.36182	58.73109
"46H0"	"PSU026"	"BIAS_2018_SWE/2018-10-08T23:49:31.000Z"	"WaterColumn"	"10_87.2"	"BIAS_2018_SWE"	1	2018-10-08T23:49:00Z	20.38705	58.72521
"46H0"	"PSU027"	"BIAS_2018_SWE/2018-10-08T23:55:38.000Z"	"WaterColumn"	"10_159.7"	"BIAS_2018_SWE"	1	2018-10-08T23:55:00Z	20.41928	58.72514
