"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"Sample"	"CatchFractionWeight"	"CatchFractionCount"	"SampleWeight"	"SampleCount"
"1999002/4/1999/1024/2"	"24"	"80009"	"flekksteinbit/171342/126759/NA"	"10"	"1999002/4/1999/1024/2-24-80009-flekksteinbit/171342/126759/NA-10"	14.36	4	14.36	4
"1999002/4/1999/1024/2"	"24"	"80009"	"gapeflyndre/172877/127137/NA"	"11"	"1999002/4/1999/1024/2-24-80009-gapeflyndre/172877/127137/NA-11"	37.3	310	7.46	62
"1999002/4/1999/1024/2"	"24"	"80009"	"hyse/164744/126437/NA"	"5"	"1999002/4/1999/1024/2-24-80009-hyse/164744/126437/NA-5"	56.9	210	11.38	42
"1999002/4/1999/1024/2"	"24"	"80009"	"hyse/164744/126437/NA"	"6"	"1999002/4/1999/1024/2-24-80009-hyse/164744/126437/NA-6"	118.65	5164	1.815	79
"1999002/4/1999/1024/2"	"24"	"80009"	"kloskate/564149/105865/NA"	"16"	"1999002/4/1999/1024/2-24-80009-kloskate/564149/105865/NA-16"	17.25	15	NA	NA
"1999002/4/1999/1024/2"	"24"	"80009"	"krokulke/167208/127193/NA"	"8"	"1999002/4/1999/1024/2-24-80009-krokulke/167208/127193/NA-8"	0.018	30	NA	NA
"1999002/4/1999/1024/2"	"24"	"80009"	"lomre/172888/127140/NA"	"12"	"1999002/4/1999/1024/2-24-80009-lomre/172888/127140/NA-12"	1.04	1	1.04	1
"1999002/4/1999/1024/2"	"24"	"80009"	"rognkjeks/167612/127214/NA"	"9"	"1999002/4/1999/1024/2-24-80009-rognkjeks/167612/127214/NA-9"	1.8	1	1.8	1
"1999002/4/1999/1024/2"	"24"	"80009"	"rødspette/172902/127143/NA"	"13"	"1999002/4/1999/1024/2-24-80009-rødspette/172902/127143/NA-13"	0.75	1	0.75	1
"1999002/4/1999/1024/2"	"24"	"80009"	"sei/164727/126441/NA"	"4"	"1999002/4/1999/1024/2-24-80009-sei/164727/126441/NA-4"	0.89	1	0.89	1
"1999002/4/1999/1024/2"	"24"	"80009"	"torsk/164712/126436/NA"	"2"	"1999002/4/1999/1024/2-24-80009-torsk/164712/126436/NA-2"	237.8	425	47.58	85
"1999002/4/1999/1024/2"	"24"	"80009"	"torsk/164712/126436/NA"	"3"	"1999002/4/1999/1024/2-24-80009-torsk/164712/126436/NA-3"	39.525	1581	1.2	48
"1999002/4/1999/1024/2"	"24"	"80009"	"vanlig ålebrosme/631144/274100/NA"	"17"	"1999002/4/1999/1024/2-24-80009-vanlig ålebrosme/631144/274100/NA-17"	0.675	15	0.045	1
"1999002/4/1999/1024/2"	"24"	"80009"	"vanlig uer/166781/151324/NA"	"7"	"1999002/4/1999/1024/2-24-80009-vanlig uer/166781/151324/NA-7"	11.1	30	0.74	2
"1999002/4/1999/1024/2"	"25"	"80010"	"sild'G03/161722.G03/126417/NA"	"1"	"1999002/4/1999/1024/2-25-80010-sild'G03/161722.G03/126417/NA-1"	0.788	40	0.315	16
