Cruise,Header,CruiseSurvey,CruiseCountry,CruiseOrganisation,CruisePlatform,CruiseStartDate,CruiseEndDate,CruiseLocalID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise,Record,IESNS,NO,612,58KC,2021-04-30,2021-05-31,2021456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Header,HaulGear,HaulNumber,HaulStationName,HaulStartTime,HaulDuration,HaulValidity,HaulStartLatitude,HaulStartLongitude,HaulStopLatitude,HaulStopLongitude,HaulStatisticalRectangle,HaulMinTrawlDepth,HaulMaxTrawlDepth,HaulBottomDepth,HaulDistance,HaulNetopening,HaulCodendMesh,HaulSweepLength,HaulGearExceptions,HaulDoorType,HaulWarpLength,HaulWarpDiameter,HaulWarpDensity,HaulDoorSurface,HaulDoorWeight,HaulDoorSpread,HaulWingSpread,HaulBuoyancy,HaulKiteArea,HaulGroundRopeWeight,HaulRigging,HaulTickler,HaulTowDirection,HaulSpeedGround,HaulSpeedWater,HaulWindDirection,HaulWindSpeed,HaulSwellDirection,HaulSwellHeight,HaulLogDistance,HaulStratum,CruiseLocalID,HaulHydrographicStationID
Haul,Record,PEL,22444,180,2021-05-25 01:03,30,V,72.5038021333333,14.01883705,72.5400956166667,14.0452396833333,74G4,0,0,2000,4144.77599999884,25,,,,,195,,,,,100,,,,,,,10,,,,,,,9599.84,,2021456,
Haul,Record,CAM,22445,181,2021-05-26 00:27,76,V,73.1295638666667,14.91192755,73.1806350333333,14.9013922,75G4,552.25,571.81,,5728.2360000014,25,,,,,1000,,,,,32.06,,,,,,,353,,,,,,,9804.409,,2021456,
Haul,Record,PEL,22446,182,2021-05-26 02:39,32,V,73.118148,15.06919255,73.1158505333333,15.2188163833333,75G5,0,0,570,4861.5,25,,,,,195,,,,,25,,,,,,,88,,,,,,,9814.306,,2021456,
Haul,Record,PEL,22447,183,2021-05-26 06:55,86,V,73.0815347166667,16.4087561666667,73.0896212333333,16.0931342,75G6,469.13,474.33,,10302.6759999968,25,,,,,1270,,,,,25,,,,,,,277,,,,,,,9848.299,,2021456,
Haul,Record,PEL,22448,184,2021-05-26 13:46,62,V,73.04816725,18.0040015,73.0458622666667,17.8059522166667,75G8,426.33,435.91,,6476.44399999887,-1,,,,,780,,,,,25,,,,,,,272,,,,,,,9892.156,,2021456,
Catch,Header,HaulGear,HaulNumber,CatchSpeciesCode,CatchSpeciesCategory,CatchDataType,CatchSpeciesValidity,CatchSpeciesCategoryNumber,CatchWeightUnit,CatchSpeciesCategoryWeight,CatchSpeciesSex,CatchSubsampledNumber,CatchSubsamplingFactor,CatchSubsampleWeight,CatchLengthCode,CatchLengthClass,CatchLengthType,CatchNumberAtLength,CatchWeightAtLength,CruiseLocalID,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22401,126715,1,R,1,69,kg,16.78,,30,2.3,7.336,,,E,30,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22401,127312,1,R,1,509,kg,0.39,,30,16.9666666666667,0.023,,,J,30,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22401,126439,1,R,1,7,kg,0.345,,7,1,0.345,,,E,7,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
Catch,Record,PEL,22401,1128,1,R,1,,kg,2.03,,,,0,,,,,,2021456,,,,,,,,,,,,,,,,,,,,,,,,
