"CruiseKey"	"LogKey"	"BeamKey"	"AcousticCategoryKey"	"ChannelReferenceKey"	"NASCKey"	"Channel"	"MaxChannelRange"	"MinChannelRange"	"NASC"
"BIAS_2018_SWE"	"2018-10-09T23:09:31.000Z"	"I1"	"MIX"	"P"	"10/100"	"10_100"	100	10	365.9
"BIAS_2018_SWE"	"2018-10-09T23:16:13.000Z"	"I1"	"MIX"	"P"	"10/109"	"10_109"	109	10	445.3
"BIAS_2018_SWE"	"2018-10-09T23:22:34.000Z"	"I1"	"MIX"	"P"	"10/104.3"	"10_104.3"	104.3	10	469.9
"BIAS_2018_SWE"	"2018-10-09T23:29:05.000Z"	"I1"	"MIX"	"P"	"10/113"	"10_113"	113	10	339.6
"BIAS_2018_SWE"	"2018-10-09T23:35:34.000Z"	"I1"	"MIX"	"P"	"10/64.7"	"10_64.7"	64.7	10	211.7
"BIAS_2018_SWE"	"2018-10-09T23:42:19.000Z"	"I1"	"MIX"	"P"	"10/66.9"	"10_66.9"	66.9	10	272.6
"BIAS_2018_SWE"	"2018-10-09T23:49:33.000Z"	"I1"	"MIX"	"P"	"10/112.3"	"10_112.3"	112.3	10	293.8
"BIAS_2018_SWE"	"2018-10-09T23:56:32.000Z"	"I1"	"MIX"	"P"	"10/108.2"	"10_108.2"	108.2	10	286.7
"BIAS_2018_SWE"	"2018-10-10T00:03:17.000Z"	"I1"	"MIX"	"P"	"10/99.6"	"10_99.6"	99.6	10	230.7
"BIAS_2018_SWE"	"2018-10-10T00:09:57.000Z"	"I1"	"MIX"	"P"	"10/89.2"	"10_89.2"	89.2	10	237.4
"BIAS_2018_SWE"	"2018-10-10T00:16:43.000Z"	"I1"	"MIX"	"P"	"10/75.1"	"10_75.1"	75.1	10	328.2
"BIAS_2018_SWE"	"2018-10-10T00:23:21.000Z"	"I1"	"MIX"	"P"	"10/68.9"	"10_68.9"	68.9	10	222.2
"BIAS_2018_SWE"	"2018-10-10T00:29:51.000Z"	"I1"	"MIX"	"P"	"10/57.6"	"10_57.6"	57.6	10	156.1
"BIAS_2018_SWE"	"2018-10-10T00:36:13.000Z"	"I1"	"MIX"	"P"	"10/36.5"	"10_36.5"	36.5	10	588.4
"BIAS_2018_SWE"	"2018-10-10T00:42:35.000Z"	"I1"	"MIX"	"P"	"10/25.8"	"10_25.8"	25.8	10	489
"BIAS_2018_SWE"	"2018-10-10T00:48:52.000Z"	"I1"	"MIX"	"P"	"10/20"	"10_20"	20	10	467.4
"BIAS_2018_SWE"	"2018-10-10T00:55:19.000Z"	"I1"	"MIX"	"P"	"10/28.4"	"10_28.4"	28.4	10	2177.2
"BIAS_2018_SWE"	"2018-10-10T01:01:54.000Z"	"I1"	"MIX"	"P"	"10/44.8"	"10_44.8"	44.8	10	1278.2
"BIAS_2018_SWE"	"2018-10-10T01:08:26.000Z"	"I1"	"MIX"	"P"	"10/57.9"	"10_57.9"	57.9	10	723.9
"BIAS_2018_SWE"	"2018-10-10T02:58:19.000Z"	"I1"	"MIX"	"P"	"10/59.3"	"10_59.3"	59.3	10	1050.7
"BIAS_2018_SWE"	"2018-10-10T03:07:12.000Z"	"I1"	"MIX"	"P"	"10/66.5"	"10_66.5"	66.5	10	779.8
"BIAS_2018_SWE"	"2018-10-10T03:15:20.000Z"	"I1"	"MIX"	"P"	"10/64.3"	"10_64.3"	64.3	10	1204.5
"BIAS_2018_SWE"	"2018-10-10T03:22:45.000Z"	"I1"	"MIX"	"P"	"10/60.4"	"10_60.4"	60.4	10	1117.4
"BIAS_2018_SWE"	"2018-10-10T03:30:05.000Z"	"I1"	"MIX"	"P"	"10/52.2"	"10_52.2"	52.2	10	802
"BIAS_2018_SWE"	"2018-10-10T03:37:25.000Z"	"I1"	"MIX"	"P"	"10/45.5"	"10_45.5"	45.5	10	1630.3
"BIAS_2018_SWE"	"2018-10-10T03:44:48.000Z"	"I1"	"MIX"	"P"	"10/28.8"	"10_28.8"	28.8	10	1911.3
"BIAS_2018_SWE"	"2018-10-10T03:52:05.000Z"	"I1"	"MIX"	"P"	"10/41.9"	"10_41.9"	41.9	10	1978.7
"BIAS_2018_SWE"	"2018-10-10T03:59:06.000Z"	"I1"	"MIX"	"P"	"10/50.1"	"10_50.1"	50.1	10	2994.3
"BIAS_2018_SWE"	"2018-10-10T04:05:55.000Z"	"I1"	"MIX"	"P"	"10/62.6"	"10_62.6"	62.6	10	3612.3
"BIAS_2018_SWE"	"2018-10-10T04:13:07.000Z"	"I1"	"MIX"	"P"	"10/56.2"	"10_56.2"	56.2	10	6829.5
"BIAS_2018_SWE"	"2018-10-10T04:20:12.000Z"	"I1"	"MIX"	"P"	"10/41.7"	"10_41.7"	41.7	10	20892
"BIAS_2018_SWE"	"2018-10-10T04:27:07.000Z"	"I1"	"MIX"	"P"	"10/39.1"	"10_39.1"	39.1	10	2054.2
"BIAS_2018_SWE"	"2018-10-10T04:34:08.000Z"	"I1"	"MIX"	"P"	"10/33.1"	"10_33.1"	33.1	10	1592.3
"BIAS_2018_SWE"	"2018-10-10T04:41:10.000Z"	"I1"	"MIX"	"P"	"10/27.3"	"10_27.3"	27.3	10	1295.8
"BIAS_2018_SWE"	"2018-10-10T04:48:09.000Z"	"I1"	"MIX"	"P"	"10/39.6"	"10_39.6"	39.6	10	508.5
"BIAS_2018_SWE"	"2018-10-10T04:55:03.000Z"	"I1"	"MIX"	"P"	"10/51.8"	"10_51.8"	51.8	10	15255.4
